C Atom Count,Total Atom Count,H Atom Count,Class
51,125,53,low
51,125,53,low
51,125,53,low
40,84,39,low
46,96,42,low
43,89,41,low
37,81,39,low
36,78,37,low
36,78,37,low
40,100,46,highh
27,63,33,highh
28,56,26,highh
28,52,18,highh
37,81,39,highh
39,83,39,highh
42,76,29,highh
76,174,96,highh
57,107,48,highh
77,185,96,highh
49,101,45,highh
100,184,82,highh
70,186,108,highh
26,70,32,highh
26,62,30,highh
23,53,24,highh
33,77,33,highh
40,92,46,highh
28,58,14,highh
33,75,34,highh
40,96,56,highh
37,81,39,highh
36,91,46,highh
36,91,46,highh
36,91,46,highh
30,60,22,highh
32,58,21,highh
